01,110001,1070713,0816,1,F
01,110002,1070713,0846,1,F
01,120001,1070713,0836,1,F
01,120002,1070713,0856,1,F
01,120003,1070713,0858,1,F
01,130002,1070713,0816,1,F
01,130003,1070713,0845,1,F
01,140002,1070713,0804,1,F
01,140003,1070713,0841,1,F
01,140004,1070713,0840,1,F
01,140005,1070713,0809,1,F
01,140006,1070713,0825,1,F
01,160001,1070713,0845,1,F
01,160002,1070713,0837,1,F
02,210001,1070713,0844,1,F
02,220001,1070713,0829,1,F
02,220002,1070713,0830,1,C
02,220003,1070713,0845,1,C
02,220004,1070713,0828,4,F
02,220004,1070713,0828,1,F
02,220005,1070713,0926,1,F
01,220006,1070713,0756,1,F
02,220007,1070713,0831,1,F
03,320001,1070713,0855,1,F
03,320002,1070713,0210,4,F
03,320002,1070713,1258,1,F
01,320004,1070713,0834,1,F
03,320006,1070713,0211,4,F
03,320006,1070713,0842,1,F
03,320007,1070713,0830,1,F
02,220008,1070713,1051,1,F
03,320009,1070713,0839,1,F
02,230001,1070713,0914,1,F
02,230002,1070713,0901,1,F
02,230003,1070713,0843,1,F
02,230005,1070713,0836,1,F
02,230006,1070713,0830,1,F
